Workload,Nemesis,TimeLimit,TestCount,Concurrency,NemesisInterval,Folder,Rate,Invoke,Valid,Failed,NemesisStart,NemesisStop,Runtime,NemStartTime,NemStopTime,RecoverToFirstOk,RecoverToFirstWrite,RecoverToAllGood,VerifyResult,Failures,Notes
list-append,kill,80,1,3n,10,major-n10-r10-alldata,10,654,243,411,4,3,129.42 s,avg:2.175; max:2.526; min:1.419; sd:0.509;,avg:0.488; max:0.563; min:0.38; sd:0.096;,avg:1.271; max:2.634; min:0.198; sd:1.244;,avg:4.22; max:4.377; min:3.998; sd:0.198;,avg:4.629; max:7.877; min:3.002; sd:2.813;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,
list-append,kill,80,1,3n,10,major-n10-r1000-alldata,1000,1572,1072,500,4,3,128.6 s,avg:2.583; max:2.68; min:2.479; sd:0.083;,avg:0.471; max:0.558; min:0.397; sd:0.081;,avg:3.812; max:5.286; min:2.862; sd:1.294;,avg:4.531; max:5.337; min:4.072; sd:0.7;,avg:8.179; max:8.47; min:8.026; sd:0.252;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,
list-append,kill,380,1,3n,60,major-n60-r10-alldata,10,3560,1480,2080,4,3,430.32 s,avg:2.378; max:2.447; min:2.291; sd:0.07;,avg:0.442; max:0.578; min:0.274; sd:0.155;,avg:3.274; max:4.479; min:2.33; sd:1.098;,avg:4.183; max:4.479; min:3.666; sd:0.449;,avg:4.75; max:7.912; min:2.697; sd:2.779;,Valid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,
list-append,kill,380,1,3n,60,major-n60-r10-partial,10,2984,245,2739,4,3,429.63 s,avg:2.306; max:2.371; min:2.255; sd:0.053;,avg:0.433; max:0.695; min:0.302; sd:0.227;,Nemesis has no recovery at all,Nemesis has no recovery at all,avg:59.698; max:60.0; min:59.243; sd:0.401;,Valid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,
list-append,kill,380,1,3n,60,major-n60-r10-partial2,10,3100,243,2856,4,3,429.69 s,avg:2.304; max:2.45; min:2.253; sd:0.098;,avg:0.435; max:0.529; min:0.344; sd:0.093;,avg:0.729; max:0.729; min:0.729; sd:0;2 nemesis not recovered,Nemesis has no recovery at all,avg:59.922; max:59.966; min:59.854; sd:0.06;,Valid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 1 response(s)
list-append,kill,380,1,3n,60,major-n60-r1000-alldata,1000,9400,7024,2374,4,3,438.0 s,avg:2.609; max:2.806; min:2.421; sd:0.172;,avg:0.469; max:0.549; min:0.366; sd:0.094;,avg:1.686; max:3.66; min:0.623; sd:1.711;,avg:4.684; max:5.066; min:4.199; sd:0.443;,avg:12.02; max:24.373; min:3.148; sd:11.033;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster;:interrupted-due-to-repl-state-change,This is a count mismatch in request -- missing 2 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-alldata1,1000,10309,7651,2656,4,3,436.13 s,avg:2.562; max:2.6; min:2.494; sd:0.047;,avg:0.225; max:0.268; min:0.176; sd:0.046;,avg:4.082; max:5.12; min:3.035; sd:1.043;,avg:4.752; max:5.12; min:4.091; sd:0.573;,avg:9.616; max:17.619; min:2.874; sd:7.453;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 2 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-alldata2,1000,9970,7288,2681,4,3,435.65 s,avg:2.513; max:2.764; min:2.321; sd:0.189;,avg:0.231; max:0.274; min:0.185; sd:0.045;,avg:4.089; max:4.205; min:3.867; sd:0.193;,avg:5.152; max:5.771; min:4.205; sd:0.833;,avg:12.022; max:29.572; min:2.73; sd:15.207;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 1 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-alldata3,1000,11049,8517,2530,4,3,434.61 s,avg:2.561; max:2.659; min:2.473; sd:0.079;,avg:0.236; max:0.269; min:0.211; sd:0.03;,avg:4.338; max:5.547; min:3.316; sd:1.127;,avg:5.542; max:5.811; min:5.267; sd:0.272;,avg:7.041; max:8.811; min:3.877; sd:2.747;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 2 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-alldata4,1000,11066,8373,2692,4,3,435.01 s,avg:2.619; max:2.695; min:2.461; sd:0.107;,avg:0.242; max:0.287; min:0.165; sd:0.067;,avg:3.143; max:3.504; min:2.786; sd:0.359;,avg:5.676; max:6.197; min:5.362; sd:0.454;,avg:6.226; max:10.971; min:3.226; sd:4.157;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 1 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-nodata1,1000,12290,9509,2779,4,3,437.76 s,avg:2.514; max:2.719; min:2.424; sd:0.139;,avg:0.34; max:0.376; min:0.311; sd:0.033;,avg:5.998; max:6.334; min:5.331; sd:0.578;,avg:6.089; max:6.597; min:5.337; sd:0.665;,avg:6.861; max:7.046; min:6.763; sd:0.16;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 2 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-nodata2,1000,11778,9143,2634,4,3,432.35 s,avg:2.621; max:2.717; min:2.49; sd:0.102;,avg:0.393; max:0.468; min:0.338; sd:0.067;,avg:1.041; max:2.07; min:0.36; sd:0.906;,avg:5.246; max:6.875; min:3.517; sd:1.681;,avg:6.89; max:7.116; min:6.691; sd:0.214;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster;:interrupted-due-to-repl-state-change,This is a count mismatch in request -- missing 1 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-nodata3,1000,11317,8535,2780,4,3,432.92 s,avg:2.493; max:2.621; min:2.364; sd:0.105;,avg:0.382; max:0.439; min:0.353; sd:0.049;,avg:3.081; max:5.221; min:0.54; sd:2.366;,avg:5.127; max:6.677; min:3.482; sd:1.6;,avg:6.759; max:6.799; min:6.703; sd:0.05;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster;:interrupted-due-to-repl-state-change,This is a count mismatch in request -- missing 2 response(s)
list-append,member,380,1,3n,60,major-n60-r1000-nodata4,1000,11290,8504,2785,4,3,431.36 s,avg:2.52; max:2.535; min:2.481; sd:0.026;,avg:0.373; max:0.404; min:0.354; sd:0.027;,avg:4.282; max:6.249; min:0.38; sd:3.379;,avg:5.993; max:6.515; min:5.216; sd:0.686;,avg:6.878; max:7.034; min:6.721; sd:0.157;,Valid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 1 response(s)
list-append,member,380,1,3n,60,prim-n60-r1000-alldata1,1000,18642,17281,1360,4,3,455.2 s,avg:2.607; max:2.812; min:2.354; sd:0.231;,avg:2.589; max:2.892; min:2.268; sd:0.312;,avg:0.026; max:0.06; min:0.005; sd:0.03;,avg:0.038; max:0.06; min:0.012; sd:0.024;,avg:7.017; max:9.121; min:3.187; sd:3.322;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 1 response(s)
list-append,member,380,1,3n,60,prim-n60-r1000-alldata2,1000,19699,18347,1351,4,3,481.12 s,avg:2.878; max:3.095; min:2.479; sd:0.285;,avg:2.396; max:2.537; min:2.293; sd:0.126;,avg:0.022; max:0.033; min:0.013; sd:0.01;,avg:0.047; max:0.073; min:0.019; sd:0.027;,avg:5.227; max:8.715; min:3.279; sd:3.028;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 1 response(s)
list-append,member,380,1,3n,60,prim-n60-r1000-alldata3,1000,19856,18489,1365,4,3,442.49 s,avg:2.767; max:3.031; min:2.475; sd:0.254;,avg:2.035; max:2.736; min:0.695; sd:1.161;,avg:0.017; max:0.031; min:0.002; sd:0.015;,avg:0.017; max:0.031; min:0.002; sd:0.015;,avg:5.033; max:9.169; min:2.832; sd:3.584;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,This is a count mismatch in request -- missing 2 response(s)
list-append,member,380,1,3n,60,prim-n60-r1000-alldata4,1000,19135,17778,1357,4,3,473.31 s,avg:2.81; max:3.131; min:2.53; sd:0.248;,avg:2.414; max:2.481; min:2.35; sd:0.066;,avg:0.019; max:0.022; min:0.016; sd:0.003;,avg:0.019; max:0.022; min:0.016; sd:0.003;,avg:6.635; max:8.19; min:3.623; sd:2.609;,Invalid,:timeout;:connect-timeout;:sessions-not-supported-by-cluster,
